<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (599, 360), 'rel': (600, 361), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (420, 224), 'rel': (-10, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (410, 221), 'rel': (-10, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (397, 218), 'rel': (-13, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (381, 213), 'rel': (-16, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (367, 208), 'rel': (-14, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (343, 205), 'rel': (-24, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (314, 202), 'rel': (-29, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (283, 200), 'rel': (-31, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (257, 197), 'rel': (-26, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (229, 197), 'rel': (-28, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (212, 197), 'rel': (-17, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (197, 197), 'rel': (-15, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (186, 196), 'rel': (-11, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (178, 195), 'rel': (-8, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (169, 195), 'rel': (-9, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (168, 191), 'rel': (-1, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (168, 177), 'rel': (0, -14), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (168, 168), 'rel': (0, -9), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (163, 164), 'rel': (-5, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (152, 164), 'rel': (-11, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (148, 163), 'rel': (-4, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (148, 161), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (148, 158), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (149, 158), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (153, 158), 'rel': (4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (190, 160), 'rel': (37, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (253, 168), 'rel': (63, 8), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (326, 177), 'rel': (73, 9), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (402, 185), 'rel': (76, 8), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (465, 185), 'rel': (63, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (496, 185), 'rel': (31, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (500, 185), 'rel': (4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (510, 182), 'rel': (10, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (528, 168), 'rel': (18, -14), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (533, 164), 'rel': (5, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (535, 163), 'rel': (2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (542, 163), 'rel': (7, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (544, 163), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (543, 162), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (540, 161), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (534, 158), 'rel': (-6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (526, 155), 'rel': (-8, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (518, 151), 'rel': (-8, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (513, 147), 'rel': (-5, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (508, 145), 'rel': (-5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (507, 143), 'rel': (-1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (504, 142), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (502, 139), 'rel': (-2, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (500, 138), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (498, 136), 'rel': (-2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (496, 135), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (494, 132), 'rel': (-2, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (491, 132), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (490, 130), 'rel': (-1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (487, 128), 'rel': (-3, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (486, 127), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (484, 125), 'rel': (-2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (482, 124), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (480, 122), 'rel': (-2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (478, 120), 'rel': (-2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (476, 119), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (474, 118), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (472, 117), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (469, 116), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (466, 115), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (461, 113), 'rel': (-5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (457, 111), 'rel': (-4, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (451, 108), 'rel': (-6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (444, 107), 'rel': (-7, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (438, 105), 'rel': (-6, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (431, 103), 'rel': (-7, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (424, 100), 'rel': (-7, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (419, 99), 'rel': (-5, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (412, 98), 'rel': (-7, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 97), 'rel': (-7, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (398, 97), 'rel': (-7, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (392, 97), 'rel': (-6, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (389, 97), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (386, 97), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (383, 97), 'rel': (-3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (381, 98), 'rel': (-2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (377, 99), 'rel': (-4, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (374, 101), 'rel': (-3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (371, 103), 'rel': (-3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (367, 106), 'rel': (-4, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (366, 107), 'rel': (-1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (364, 108), 'rel': (-2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (364, 109), 'rel': (0, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (362, 109), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (361, 109), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (359, 109), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (352, 113), 'rel': (-7, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (343, 115), 'rel': (-9, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 117), 'rel': (-11, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (316, 117), 'rel': (-16, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (286, 115), 'rel': (-30, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 108), 'rel': (-35, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (213, 100), 'rel': (-38, -8), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (180, 94), 'rel': (-33, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (158, 88), 'rel': (-22, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (140, 85), 'rel': (-18, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (130, 82), 'rel': (-10, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (126, 82), 'rel': (-4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (121, 82), 'rel': (-5, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (117, 83), 'rel': (-4, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (114, 84), 'rel': (-3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (111, 86), 'rel': (-3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (109, 88), 'rel': (-2, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (106, 89), 'rel': (-3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (104, 90), 'rel': (-2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (103, 91), 'rel': (-1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (101, 92), 'rel': (-2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (100, 93), 'rel': (-1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (100, 94), 'rel': (0, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (98, 94), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (98, 94), 'button': 1})>
<Event(4-MouseMotion {'pos': (97, 95), 'rel': (-1, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (98, 96), 'rel': (1, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (99, 96), 'rel': (1, 0), 'buttons': (1, 0, 0)})>
<Event(6-MouseButtonUp {'pos': (99, 96), 'button': 1})>
<Event(4-MouseMotion {'pos': (100, 97), 'rel': (1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (102, 98), 'rel': (2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (104, 98), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (108, 99), 'rel': (4, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (112, 101), 'rel': (4, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (115, 102), 'rel': (3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (117, 103), 'rel': (2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (120, 104), 'rel': (3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (120, 105), 'rel': (0, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (123, 105), 'rel': (3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (126, 106), 'rel': (3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (130, 107), 'rel': (4, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (135, 111), 'rel': (5, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (139, 114), 'rel': (4, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (147, 116), 'rel': (8, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (153, 118), 'rel': (6, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (156, 119), 'rel': (3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (158, 119), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (159, 119), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (159, 119), 'button': 1})>
<Event(6-MouseButtonUp {'pos': (159, 119), 'button': 1})>
<Event(4-MouseMotion {'pos': (161, 119), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (162, 120), 'rel': (1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (163, 120), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (164, 121), 'rel': (1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (166, 121), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (168, 123), 'rel': (2, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (172, 125), 'rel': (4, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (177, 126), 'rel': (5, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (184, 130), 'rel': (7, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (194, 133), 'rel': (10, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (204, 136), 'rel': (10, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (215, 140), 'rel': (11, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (229, 143), 'rel': (14, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (243, 148), 'rel': (14, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (257, 151), 'rel': (14, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (271, 155), 'rel': (14, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (285, 159), 'rel': (14, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (300, 164), 'rel': (15, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (315, 170), 'rel': (15, 6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (329, 175), 'rel': (14, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (342, 179), 'rel': (13, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (353, 184), 'rel': (11, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (362, 189), 'rel': (9, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (367, 194), 'rel': (5, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (369, 197), 'rel': (2, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (371, 198), 'rel': (2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (372, 199), 'rel': (1, 1), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (372, 199), 'button': 1})>
<Event(4-MouseMotion {'pos': (372, 200), 'rel': (0, 1), 'buttons': (1, 0, 0)})>
<Event(6-MouseButtonUp {'pos': (372, 200), 'button': 1})>
<Event(4-MouseMotion {'pos': (372, 201), 'rel': (0, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (373, 203), 'rel': (1, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (374, 203), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (375, 203), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (380, 203), 'rel': (5, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (386, 203), 'rel': (6, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (392, 204), 'rel': (6, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (396, 204), 'rel': (4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (400, 204), 'rel': (4, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (402, 204), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (403, 206), 'rel': (1, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 207), 'rel': (2, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 209), 'rel': (0, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 212), 'rel': (0, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 217), 'rel': (0, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (404, 229), 'rel': (-1, 12), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (399, 245), 'rel': (-5, 16), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (388, 269), 'rel': (-11, 24), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (371, 294), 'rel': (-17, 25), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (353, 317), 'rel': (-18, 23), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (336, 338), 'rel': (-17, 21), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (322, 353), 'rel': (-14, 15), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (314, 362), 'rel': (-8, 9), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (302, 373), 'rel': (-12, 11), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (293, 380), 'rel': (-9, 7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (288, 384), 'rel': (-5, 4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (281, 386), 'rel': (-7, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (274, 387), 'rel': (-7, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (268, 387), 'rel': (-6, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (261, 387), 'rel': (-7, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 385), 'rel': (-10, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (239, 382), 'rel': (-12, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (228, 375), 'rel': (-11, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (215, 368), 'rel': (-13, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (202, 363), 'rel': (-13, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (192, 356), 'rel': (-10, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (186, 351), 'rel': (-6, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (182, 347), 'rel': (-4, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (178, 344), 'rel': (-4, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (177, 342), 'rel': (-1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (177, 340), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 337), 'rel': (-1, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 335), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 334), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 332), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 331), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 330), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (176, 328), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (177, 326), 'rel': (1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (178, 323), 'rel': (1, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (179, 322), 'rel': (1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (181, 316), 'rel': (2, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (183, 312), 'rel': (2, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (184, 307), 'rel': (1, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (187, 302), 'rel': (3, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (188, 298), 'rel': (1, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (189, 295), 'rel': (1, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (189, 292), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
